,Actor_Learning_Rates,Actor_Epochs,Actor_Sizes,Actor_Batch_Sizes,Actor_Alphas,Critic_Learning_Rates,Critic_Epochs,Critic_Sizes,Critic_Batch_Sizes,Critic_Alphas,Gamma,Sigma_Range,Sigma_Anneal,Retrain_Frequency,Action_Space_Clip,Experiance_Mode,TD_Lambda,Monte_Carlo_Frac
0,0.005,1,"[8, 4]",60,0.1,0.005,10,"[8, 4]",60,0.1,0.999,"[2, 0.5]",1,20,75,TD_Lambda,0.5,0.2
1,0.005,3,"[8, 4]",60,0.1,0.005,10,"[8, 4]",60,0.1,0.999,"[2, 0.5]",1,20,75,TD_Lambda,0.5,0.2
