,Sharpes_0,Delta_Utility_0,Sharpes_1,Delta_Utility_1
0,0.04976263707913754,-0.09768599261942384,0.0467415280838317,-0.035435487732719526
1,0.04620568019039619,-0.08442682276024546,0.05203889744137243,-0.0798197973355945
2,0.05018615554535744,-0.03129559373481153,0.04911920182267771,-0.038794358030923515
3,-0.0403236105035562,-0.12463746698805103,0.04596715243127718,-0.03213451983944142
4,0.04492976654636999,-0.038796043073926006,0.0497140776062972,0.02194713281610869
5,0.04282006397869881,-0.042445565064169244,0.051897296833829716,0.013610791350726875
6,0.03810459786852579,-0.08553447517797827,0.045063215163938165,-0.06958148739476187
7,0.04671608266076652,-0.10511645244878794,0.04883572617631695,-0.05688298920304445
8,0.04911371035310023,-0.10136902537296531,0.04521520895487532,-0.04641580176012712
9,0.054103460434721806,-0.09226210067765044,0.05096037449781327,-0.03467120683954554
10,0.04759607543283438,-0.02194570792359607,0.050359570308535606,-0.011991096580060742
11,0.04072089447606986,-0.07112095656609194,0.04481342073417833,-0.02681651317360853
12,0.0455009819823472,-0.026472310607110083,0.04468473809552397,-0.062266876813576316
13,-0.039892447045034446,-0.1492090785472913,0.05187984503018521,-0.008398980529241068
14,0.044871079947860146,-0.03499816021588843,-0.04701762111817487,-0.15322913225813714
15,0.047196775699296506,-0.02829010844387886,0.04609189573813522,-0.014503844526550083
16,0.05143893917426112,-0.06215463565977582,0.04651275032246687,-0.02015083929658394
17,0.04185763357128552,-0.05203224685753781,0.05043056715545118,0.011284692783969319
18,0.043368182261154825,-0.057416700776817944,0.04615824609303317,-0.04341085576364466
19,0.0459086839088839,-0.03371807594089246,0.043806688989053634,0.006564701775652965
20,0.04525381428071463,-0.006965270599796403,0.045395094821003165,0.02517846347794342
21,0.043887320347360405,-0.05366090759826092,0.03895780476575984,-0.07334031354606545
22,0.0463871911149549,-0.02443705815367582,0.04849747910204781,0.024584345027490934
23,0.054294278992885824,-0.09287106804914282,0.04411765295834169,-0.007457949099887479
24,-0.039410937882072734,-0.12779783918626747,0.038412925542204004,-0.018792009250467617
25,0.05150054440267887,-0.07277295913500609,0.056571093270051324,0.04276322144177147
26,0.0476774368867154,-0.040689542252567906,0.046594887266802706,-0.06533200152397006
27,0.047172168200117714,-0.05103940121897628,0.03751135756949226,0.0028343040915789763
28,0.05372184291671132,-0.11116774473156359,0.044545191725404644,-0.003469104885650137
29,0.050027169538487286,-0.07052437398978463,0.05050636616913627,-0.008015192995686898
30,-0.04054147715438339,-0.14180921316877398,0.04297618259220691,-0.011864882828354906
31,0.04855109978440624,-0.012271600708665537,0.05143838692556991,-0.037402485087735374
32,0.05036430200844415,-0.07986248288855716,0.054448942444297564,-0.049023047660541955
33,0.04120956237854937,-0.03689303915144582,0.06471338378162486,-0.04841979453106218
34,-0.03833776127466854,-0.1425793642345719,0.05492463081779863,-0.015796962036763645
35,0.043431778910686246,-0.10067926219292102,0.04644825472768368,0.010260268361075381
36,0.04605479077314756,-0.05512961674728627,0.041551050613170486,-0.01926700131121596
37,0.04951917516550413,-0.04187052979077456,0.043938920408365785,-0.024249019903449978
38,0.036090802517985736,-0.09165852215238308,0.05250439886530606,-0.07220601573688959
39,0.06252854613200902,-0.10722231496068568,0.048081214955543634,-0.030846864370888655
40,0.050049711749574115,-0.06109286979013803,0.04517972184176918,-0.034713441145150445
41,0.054069866208674475,-0.09585213195674545,0.05073275665058666,-0.03271540273297485
42,0.04262731835687576,-0.016080025485333563,0.043077682272941654,-0.016594320871075027
43,0.04852155774718069,-0.0751759275209964,0.049191173996157925,-0.08905399959527201
44,0.04723150023706652,-0.07931394623821807,0.055900131747792584,-0.032026595108701095
45,0.05701898710032881,-0.09555854456252495,0.047968097470214535,0.00283187014515085
46,0.040595608445973805,-0.08947263390195781,0.05260552623212043,-0.057114816192118986
47,0.05708868191299081,-0.07872354906766615,0.056543705823558596,0.014600248088015494
48,0.05062956459000259,-0.059431228811289274,0.05487569932694955,-0.041527880986409374
49,-0.03874236732805617,-0.13702693316324527,0.0475977313954958,-0.031564823191626096
50,0.04918418674829029,-0.046875049987827794,0.044222831480558555,-0.0812343808177169
51,0.05467996811993966,-0.01674925131296781,0.05441444507289141,-0.09918562332988938
52,0.05067592536470225,-0.09591631340391038,0.06244456867352242,0.0002510957803142644
53,-0.03855101329642385,-0.128631815121221,0.040916618286815955,-0.052820000453153174
54,0.055391539760760514,-0.10530456897258915,0.04654849092300801,0.012370441195526438
55,0.04873541645991987,-0.04492937577937149,0.05339700321972597,-0.010386312720680052
56,0.025758390674061892,-0.09610848466955099,0.04238745217152311,-0.04630906589793042
57,-0.05391834419017229,-0.2013129768260841,0.047728294693186644,-0.05613490681708942
58,0.049558657138231064,-0.06086866811852576,0.045529350693738785,0.011869283434809336
59,0.05072919680260038,-0.042725050928407365,0.04739648958193825,-0.07169237090862006
60,0.05446883857939891,-0.061590046548857455,0.04677776258811176,-0.03913128256460345
61,0.036201746080423855,-0.12280888533532022,0.052328402314645854,0.002792415677314364
62,0.05160560734351319,-0.03634181418438623,0.05900032634513118,-0.057895621367390585
63,0.04079491528538278,-0.07480951298803942,0.05397921066768378,-0.030847795689217986
